closed; 27
um; 27
god; 27
waiting; 27
given; 27
comes; 27
within; 27
electronic; 27
large; 27
change; 27
wished; 27
try; 26
shook; 26
couldn’t; 26
tried; 26
joe’s; 26
happened; 26
matters; 26
attention; 26
usual; 26
certainly; 26
feel; 26
coat; 26
child; 26
meeting; 26
general; 26
machine; 26
public; 26
arm; 26
story; 26
taking; 25
state; 25
near; 25
often; 25
beyond; 25
school; 25
opportunity; 25
reason; 25
lightly; 25
situation; 25
merely; 25
papers; 25
sense; 25
along; 25
line; 25
slowly; 25
ran; 25
art; 25
bed; 25
deep; 25
getting; 25
bit; 25
window; 24
rosedale; 24
paper; 24
suddenly; 24
offered; 24
threw; 24
low; 24
agreement; 24
dining; 24
hadn’t; 24
account; 24
case; 24
motor; 24
e; 23
besides; 23
themselves; 23
foundation; 23
pleased; 23
lights; 23
returned; 23
arms; 23
small; 23
number; 23
saying; 23
they’re; 23
married; 23
interesting; 23
quiet; 23
paid; 23
feet; 23
shares; 23
we’ll; 23
among; 23
jean’s; 23
wrong; 23
chief; 23
clear; 23
hold; 23
answered; 23
moved; 23
suggested; 23
labour; 23
colonel’s; 23
liked; 22
’em; 22
dick; 22
game; 22
changed; 22
mother’s; 22
wait; 22
hot; 22
breakfast; 22
nice; 22
death; 22
telephone; 22
street; 22
jimmy; 22
allequippa; 22
everything; 22
lighted; 22
stopped; 22
doubt; 22
three; 22
means; 22
fell; 22
carry; 22
smile; 22
run; 22
born; 22
sit; 22
beside; 22
aware; 22
blood; 21
picture; 21
bright; 21
states; 21
wholly; 21
below; 21
white; 21
familiar; 21
adelaide; 21
second; 21
sitting; 21
started; 21
send; 21
hat; 21
fair; 21
church; 21
fall; 21
close; 21
parish; 21
however; 21
sick; 21
corner; 21
surprised; 21
silent; 21
sight; 21
minutes; 21
stoddard; 21
knowledge; 21
anyone; 21
luncheon; 21
information; 20
thousand; 20
stop; 20
minister; 20
private; 20
interview; 20
marry; 20
questions; 20
dropped; 20
honour; 20
letter; 20
lifted; 20
show; 20
shut; 20
entered; 20
drink; 20
different; 20
demanded; 20
interests; 20
ease; 20
we’re; 20
copyright; 20
peace; 20
sympathy; 20
paddock’s; 20
blow; 20
talking; 20
strange; 20
service; 20
creek; 20
satisfied; 20
probably; 19
chauffeur; 19
surprise; 19
seems; 19
spent; 19
opened; 19
died; 19
talked; 19
become; 19
portrait; 19
beginning; 19
forget; 19
acquaintance; 19
worse; 19
seeing; 19
led; 19
pennsylvania; 19
usually; 19
glance; 19
appeal; 19
marked; 19
brother; 19
girls; 19
coffee; 19
wants; 19
during; 19
institute; 19
abroad; 19
view; 19
boys; 19
pleasure; 19
hair; 19
telling; 18
sand; 18
short; 18
water; 18
further; 18
step; 18
wondered; 18
faith; 18
hurt; 18
license; 18
necessary; 18
happy; 18
reached; 18
intention; 18
pictures; 18
man’s; 18
paused; 18
wingfield’s; 18
week; 18
law; 18
fashion; 18
girl’s; 18
fear; 18
glanced; 18
above; 18
music; 18
maybe; 18
understood; 18
claim; 18
live; 18
evil; 18
asking; 18
wonder; 18
building; 18
shoulders; 18
broad; 18
ten; 17
turn; 17
suffered; 17
serious; 17
save; 17
subject; 17
credit; 17
winter; 17
lines; 17
slightly; 17
driving; 17
black; 17
study; 17
effect; 17
watching; 17
station; 17
anybody; 17
lady; 17
flashed; 17
laid; 17
colour; 17
softly; 17
property; 17
leaving; 17
jim; 17
joy; 17
rest; 17
offer; 17
ironstead; 17
address; 17
thank; 17
turning; 17
presence; 17
confidence; 17
flight; 17
bought; 17
